Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
18340,PA,NYUP,275.389
18341,PA,RFCE,660.311
18342,PA,RFCE,660.311
18343,PA,RFCE,660.311
18344,PA,RFCE,660.311
18346,PA,RFCE,660.311
18347,PA,RFCE,660.311
18348,PA,RFCE,660.311
18349,PA,RFCE,660.311
18350,PA,RFCE,660.311
18351,PA,RFCE,660.311
18352,PA,RFCE,660.311
18353,PA,RFCE,660.311
18354,PA,RFCE,660.311
18355,PA,RFCE,660.311
18356,PA,RFCE,660.311
18357,PA,RFCE,660.311
18360,PA,RFCE,660.311
18370,PA,RFCE,660.311
18371,PA,RFCE,660.311
18372,PA,RFCE,660.311
18373,PA,RFCE,660.311
18403,PA,RFCE,660.311
18405,PA,RFCE,660.311
18407,PA,RFCE,660.311
18410,PA,RFCE,660.311
18411,PA,RFCE,660.311
18413,PA,RFCE,660.311
18414,PA,RFCE,660.311
18415,PA,RFCE,660.311
18416,PA,RFCE,660.311
18417,PA,RFCE,660.311
18419,PA,RFCE,660.311
18420,PA,RFCE,660.311
18421,PA,RFCE,660.311
18424,PA,RFCE,660.311
18425,PA,RFCE,660.311
18426,PA,RFCE,660.311
18427,PA,RFCE,660.311
18428,PA,RFCE,660.311
18430,PA,RFCE,660.311
18431,PA,RFCE,660.311
18433,PA,RFCE,660.311
18434,PA,RFCE,660.311
18435,PA,RFCE,660.311
18436,PA,RFCE,660.311
18437,PA,RFCE,660.311
18438,PA,RFCE,660.311
18439,PA,RFCE,660.311
18440,PA,RFCE,660.311
18441,PA,RFCE,660.311
18443,PA,RFCE,660.311
18444,PA,RFCE,660.311
18445,PA,RFCE,660.311
18446,PA,RFCE,660.311
18447,PA,RFCE,660.311
18448,PA,RFCE,660.311
18449,PA,RFCE,660.311
18451,PA,RFCE,660.311
18452,PA,RFCE,660.311
18453,PA,RFCE,660.311
18454,PA,RFCE,660.311
18455,PA,RFCE,660.311
18456,PA,RFCE,660.311
18457,PA,RFCE,660.311
18458,PA,RFCE,660.311
18459,PA,RFCE,660.311
18460,PA,RFCE,660.311
18461,PA,RFCE,660.311
18462,PA,RFCE,660.311
18463,PA,RFCE,660.311
18464,PA,RFCE,660.311
18465,PA,RFCE,660.311
18466,PA,RFCE,660.311
18469,PA,RFCE,660.311
18470,PA,RFCE,660.311
18471,PA,RFCE,660.311
18472,PA,RFCE,660.311
18473,PA,RFCE,660.311
18501,PA,RFCE,660.311
18502,PA,RFCE,660.311
18503,PA,RFCE,660.311
18504,PA,RFCE,660.311
18505,PA,RFCE,660.311
18507,PA,RFCE,660.311
18508,PA,RFCE,660.311
18509,PA,RFCE,660.311
18510,PA,RFCE,660.311
18512,PA,RFCE,660.311
18515,PA,RFCE,660.311
18517,PA,RFCE,660.311
18518,PA,RFCE,660.311
18519,PA,RFCE,660.311
18540,PA,RFCE,660.311
18577,PA,RFCE,660.311
18601,PA,RFCE,660.311
18602,PA,RFCE,660.311
18603,PA,RFCE,660.311
18610,PA,RFCE,660.311
18611,PA,RFCE,660.311
18612,PA,RFCE,660.311
18614,PA,RFCE,660.311
18615,PA,RFCE,660.311
18616,PA,RFCE,660.311
18617,PA,RFCE,660.311
18618,PA,RFCE,660.311
18619,PA,RFCE,660.311
18621,PA,RFCE,660.311
18622,PA,RFCE,660.311
18623,PA,RFCE,660.311
18624,PA,RFCE,660.311
18625,PA,RFCE,660.311
18626,PA,RFCE,660.311
18627,PA,RFCE,660.311
18628,PA,RFCE,660.311
18629,PA,RFCE,660.311
18630,PA,RFCE,660.311
18631,PA,RFCE,660.311
18632,PA,RFCE,660.311
18634,PA,RFCE,660.311
18635,PA,RFCE,660.311
18636,PA,RFCE,660.311
18640,PA,RFCE,660.311
18641,PA,RFCE,660.311
18642,PA,RFCE,660.311
18643,PA,RFCE,660.311
18644,PA,RFCE,660.311
18651,PA,RFCE,660.311
18653,PA,RFCE,660.311
18654,PA,RFCE,660.311
18655,PA,RFCE,660.311
18656,PA,RFCE,660.311
18657,PA,RFCE,660.311
18660,PA,RFCE,660.311
18661,PA,RFCE,660.311
18690,PA,RFCE,660.311
18701,PA,RFCE,660.311
18702,PA,RFCE,660.311
18703,PA,RFCE,660.311
18704,PA,RFCE,660.311
18705,PA,RFCE,660.311
18706,PA,RFCE,660.311
18707,PA,RFCE,660.311
18708,PA,RFCE,660.311
18709,PA,RFCE,660.311
18710,PA,RFCE,660.311
18711,PA,RFCE,660.311
18762,PA,RFCE,660.311
18764,PA,RFCE,660.311
18765,PA,RFCE,660.311
18766,PA,RFCE,660.311
18767,PA,RFCE,660.311
18769,PA,RFCE,660.311
18773,PA,RFCE,660.311
18801,PA,RFCE,660.311
18810,PA,RFCE,660.311
18812,PA,RFCE,660.311
18813,PA,RFCE,660.311
18814,PA,RFCE,660.311
18815,PA,RFCE,660.311
18816,PA,RFCE,660.311
18817,PA,RFCE,660.311
18818,PA,RFCE,660.311
18820,PA,RFCE,660.311
18821,PA,RFCE,660.311
18822,PA,RFCE,660.311
18823,PA,RFCE,660.311
18824,PA,RFCE,660.311
18825,PA,RFCE,660.311
18826,PA,RFCE,660.311
18827,PA,RFCE,660.311
18828,PA,RFCE,660.311
18829,PA,RFCE,660.311
18830,PA,RFCE,660.311
18831,PA,RFCE,660.311
18832,PA,RFCE,660.311
18833,PA,RFCE,660.311
18834,PA,RFCE,660.311
18837,PA,RFCE,660.311
18840,PA,RFCE,660.311
18842,PA,RFCE,660.311
18843,PA,RFCE,660.311
18844,PA,RFCE,660.311
18845,PA,RFCE,660.311
18846,PA,RFCE,660.311
18847,PA,RFCE,660.311
18848,PA,RFCE,660.311
18850,PA,RFCE,660.311
18851,PA,RFCE,660.311
18853,PA,RFCE,660.311
18854,PA,RFCE,660.311
18901,PA,RFCE,660.311
18902,PA,RFCE,660.311
18910,PA,RFCE,660.311
18911,PA,RFCE,660.311
18912,PA,RFCE,660.311
18913,PA,RFCE,660.311
18914,PA,RFCE,660.311
18915,PA,RFCE,660.311
18916,PA,RFCE,660.311
18917,PA,RFCE,660.311
18918,PA,RFCE,660.311
18920,PA,RFCE,660.311
18921,PA,RFCE,660.311
18922,PA,RFCE,660.311
18923,PA,RFCE,660.311
18924,PA,RFCE,660.311
18925,PA,RFCE,660.311
18926,PA,RFCE,660.311
18927,PA,RFCE,660.311
18928,PA,RFCE,660.311
18929,PA,RFCE,660.311
18930,PA,RFCE,660.311
18931,PA,RFCE,660.311
18932,PA,RFCE,660.311
18933,PA,RFCE,660.311
18934,PA,RFCE,660.311
18935,PA,RFCE,660.311
18936,PA,RFCE,660.311
18938,PA,RFCE,660.311
18940,PA,RFCE,660.311
18942,PA,RFCE,660.311
18943,PA,RFCE,660.311
18944,PA,RFCE,660.311
18946,PA,RFCE,660.311
18947,PA,RFCE,660.311
18949,PA,RFCE,660.311
18950,PA,RFCE,660.311
18951,PA,RFCE,660.311
18953,PA,RFCE,660.311
18954,PA,RFCE,660.311
18955,PA,RFCE,660.311
18956,PA,RFCE,660.311
18957,PA,RFCE,660.311
18958,PA,RFCE,660.311
18960,PA,RFCE,660.311
18962,PA,RFCE,660.311
18963,PA,RFCE,660.311
18964,PA,RFCE,660.311
18966,PA,RFCE,660.311
18968,PA,RFCE,660.311
18969,PA,RFCE,660.311
18970,PA,RFCE,660.311
18971,PA,RFCE,660.311
18972,PA,RFCE,660.311
18974,PA,RFCE,660.311
18976,PA,RFCE,660.311
18977,PA,RFCE,660.311
18979,PA,RFCE,660.311
18980,PA,RFCE,660.311
18981,PA,RFCE,660.311
18991,PA,RFCE,660.311
19001,PA,RFCE,660.311
19002,PA,RFCE,660.311
19003,PA,RFCE,660.311
19004,PA,RFCE,660.311
19006,PA,RFCE,660.311
19007,PA,RFCE,660.311
19008,PA,RFCE,660.311
19009,PA,RFCE,660.311
19010,PA,RFCE,660.311
19012,PA,RFCE,660.311
19013,PA,RFCE,660.311
19014,PA,RFCE,660.311
19015,PA,RFCE,660.311
19016,PA,RFCE,660.311
19017,PA,RFCE,660.311
19018,PA,RFCE,660.311
19019,PA,RFCE,660.311
19020,PA,RFCE,660.311
19021,PA,RFCE,660.311
19022,PA,RFCE,660.311
19023,PA,RFCE,660.311
19025,PA,RFCE,660.311
19026,PA,RFCE,660.311
19027,PA,RFCE,660.311
19028,PA,RFCE,660.311
19029,PA,RFCE,660.311
19030,PA,RFCE,660.311
19031,PA,RFCE,660.311
19032,PA,RFCE,660.311
19033,PA,RFCE,660.311
19034,PA,RFCE,660.311
19035,PA,RFCE,660.311
19036,PA,RFCE,660.311
19037,PA,RFCE,660.311
19038,PA,RFCE,660.311
19039,PA,RFCE,660.311
19040,PA,RFCE,660.311
19041,PA,RFCE,660.311
19043,PA,RFCE,660.311
19044,PA,RFCE,660.311
19046,PA,RFCE,660.311
19047,PA,RFCE,660.311
19048,PA,RFCE,660.311
19049,PA,RFCE,660.311
19050,PA,RFCE,660.311
19052,PA,RFCE,660.311
19053,PA,RFCE,660.311
19054,PA,RFCE,660.311
19055,PA,RFCE,660.311
19056,PA,RFCE,660.311
19057,PA,RFCE,660.311
19058,PA,RFCE,660.311
19060,PA,RFCE,660.311
19061,PA,RFCE,660.311
19063,PA,RFCE,660.311
19064,PA,RFCE,660.311
19065,PA,RFCE,660.311
19066,PA,RFCE,660.311
19067,PA,RFCE,660.311
19070,PA,RFCE,660.311
19072,PA,RFCE,660.311
19073,PA,RFCE,660.311
19074,PA,RFCE,660.311
19075,PA,RFCE,660.311
19076,PA,RFCE,660.311
19078,PA,RFCE,660.311
19079,PA,RFCE,660.311
19080,PA,RFCE,660.311
19081,PA,RFCE,660.311
19082,PA,RFCE,660.311
19083,PA,RFCE,660.311
19085,PA,RFCE,660.311
19086,PA,RFCE,660.311
19087,PA,RFCE,660.311
19088,PA,RFCE,660.311
19089,PA,RFCE,660.311
19090,PA,RFCE,660.311
19091,PA,RFCE,660.311
19092,PA,RFCE,660.311
19093,PA,RFCE,660.311
19094,PA,RFCE,660.311
19095,PA,RFCE,660.311
19096,PA,RFCE,660.311
19098,PA,RFCE,660.311
19099,PA,RFCE,660.311
19101,PA,RFCE,660.311
19102,PA,RFCE,660.311
19103,PA,RFCE,660.311
19104,PA,RFCE,660.311
19105,PA,RFCE,660.311
19106,PA,RFCE,660.311
19107,PA,RFCE,660.311
19108,PA,RFCE,660.311
19109,PA,RFCE,660.311
19110,PA,RFCE,660.311
19111,PA,RFCE,660.311
19112,PA,RFCE,660.311
19113,PA,RFCE,660.311
19114,PA,RFCE,660.311
19115,PA,RFCE,660.311
19116,PA,RFCE,660.311
19118,PA,RFCE,660.311
19119,PA,RFCE,660.311
19120,PA,RFCE,660.311
19121,PA,RFCE,660.311
19122,PA,RFCE,660.311
19123,PA,RFCE,660.311
19124,PA,RFCE,660.311
19125,PA,RFCE,660.311
19126,PA,RFCE,660.311
19127,PA,RFCE,660.311
19128,PA,RFCE,660.311
19129,PA,RFCE,660.311
19130,PA,RFCE,660.311
19131,PA,RFCE,660.311
19132,PA,RFCE,660.311
19133,PA,RFCE,660.311
19134,PA,RFCE,660.311
19135,PA,RFCE,660.311
19136,PA,RFCE,660.311
19137,PA,RFCE,660.311
19138,PA,RFCE,660.311
19139,PA,RFCE,660.311
19140,PA,RFCE,660.311
19141,PA,RFCE,660.311
19142,PA,RFCE,660.311
19143,PA,RFCE,660.311
19144,PA,RFCE,660.311
19145,PA,RFCE,660.311
19146,PA,RFCE,660.311
19147,PA,RFCE,660.311
19148,PA,RFCE,660.311
19149,PA,RFCE,660.311
19150,PA,RFCE,660.311
19151,PA,RFCE,660.311
19152,PA,RFCE,660.311
19153,PA,RFCE,660.311
19154,PA,RFCE,660.311
19155,PA,RFCE,660.311
19160,PA,RFCE,660.311
19161,PA,RFCE,660.311
19162,PA,RFCE,660.311
19170,PA,RFCE,660.311
19171,PA,RFCE,660.311
19172,PA,RFCE,660.311
19173,PA,RFCE,660.311
19175,PA,RFCE,660.311
19176,PA,RFCE,660.311
19177,PA,RFCE,660.311
19178,PA,RFCE,660.311
19179,PA,RFCE,660.311
19181,PA,RFCE,660.311
19182,PA,RFCE,660.311
19183,PA,RFCE,660.311
19184,PA,RFCE,660.311
19185,PA,RFCE,660.311
19187,PA,RFCE,660.311
19188,PA,RFCE,660.311
19190,PA,RFCE,660.311
19191,PA,RFCE,660.311
19192,PA,RFCE,660.311
19193,PA,RFCE,660.311
19194,PA,RFCE,660.311
19195,PA,RFCE,660.311
19196,PA,RFCE,660.311
19197,PA,RFCE,660.311
19244,PA,RFCE,660.311
19255,PA,RFCE,660.311
19301,PA,RFCE,660.311
19310,PA,RFCE,660.311
19311,PA,RFCE,660.311
19312,PA,RFCE,660.311
19316,PA,RFCE,660.311
19317,PA,RFCE,660.311
19318,PA,RFCE,660.311
19319,PA,RFCE,660.311
19320,PA,RFCE,660.311
19330,PA,RFCE,660.311
19331,PA,RFCE,660.311
19333,PA,RFCE,660.311
19335,PA,RFCE,660.311
19339,PA,RFCE,660.311
19340,PA,RFCE,660.311
19341,PA,RFCE,660.311
19342,PA,RFCE,660.311
19343,PA,RFCE,660.311
19344,PA,RFCE,660.311
19345,PA,RFCE,660.311
19346,PA,RFCE,660.311
19347,PA,RFCE,660.311
19348,PA,RFCE,660.311
19350,PA,RFCE,660.311
19351,PA,RFCE,660.311
19352,PA,RFCE,660.311
19353,PA,RFCE,660.311
19354,PA,RFCE,660.311
19355,PA,RFCE,660.311
19357,PA,RFCE,660.311
19358,PA,RFCE,660.311
19360,PA,RFCE,660.311
19362,PA,RFCE,660.311
19363,PA,RFCE,660.311
19365,PA,RFCE,660.311
19366,PA,RFCE,660.311
19367,PA,RFCE,660.311
19369,PA,RFCE,660.311
19371,PA,RFCE,660.311
19372,PA,RFCE,660.311
19373,PA,RFCE,660.311
19374,PA,RFCE,660.311
19375,PA,RFCE,660.311
19376,PA,RFCE,660.311
19380,PA,RFCE,660.311
19381,PA,RFCE,660.311
19382,PA,RFCE,660.311
19383,PA,RFCE,660.311
19388,PA,RFCE,660.311
19390,PA,RFCE,660.311
19395,PA,RFCE,660.311
19397,PA,RFCE,660.311
19398,PA,RFCE,660.311
19399,PA,RFCE,660.311
19401,PA,RFCE,660.311
19403,PA,RFCE,660.311
19404,PA,RFCE,660.311
19405,PA,RFCE,660.311
19406,PA,RFCE,660.311
19407,PA,RFCE,660.311
19408,PA,RFCE,660.311
19409,PA,RFCE,660.311
19415,PA,RFCE,660.311
19420,PA,RFCE,660.311
19421,PA,RFCE,660.311
19422,PA,RFCE,660.311
19423,PA,RFCE,660.311
19424,PA,RFCE,660.311
19425,PA,RFCE,660.311
19426,PA,RFCE,660.311
19428,PA,RFCE,660.311
19429,PA,RFCE,660.311
19430,PA,RFCE,660.311
19432,PA,RFCE,660.311
19435,PA,RFCE,660.311
19436,PA,RFCE,660.311
19437,PA,RFCE,660.311
19438,PA,RFCE,660.311
19440,PA,RFCE,660.311
19441,PA,RFCE,660.311
19442,PA,RFCE,660.311
19443,PA,RFCE,660.311
19444,PA,RFCE,660.311
19446,PA,RFCE,660.311
19450,PA,RFCE,660.311
19451,PA,RFCE,660.311
19453,PA,RFCE,660.311
19454,PA,RFCE,660.311
19455,PA,RFCE,660.311
19456,PA,RFCE,660.311
19457,PA,RFCE,660.311
19460,PA,RFCE,660.311
19462,PA,RFCE,660.311
19464,PA,RFCE,660.311
19465,PA,RFCE,660.311
19468,PA,RFCE,660.311
19470,PA,RFCE,660.311
19472,PA,RFCE,660.311
19473,PA,RFCE,660.311
19474,PA,RFCE,660.311
19475,PA,RFCE,660.311
19477,PA,RFCE,660.311
19478,PA,RFCE,660.311
19480,PA,RFCE,660.311
19481,PA,RFCE,660.311
19482,PA,RFCE,660.311
19484,PA,RFCE,660.311
19485,PA,RFCE,660.311
19486,PA,RFCE,660.311
19490,PA,RFCE,660.311
19492,PA,RFCE,660.311
19493,PA,RFCE,660.311
19494,PA,RFCE,660.311
19495,PA,RFCE,660.311
19496,PA,RFCE,660.311
19501,PA,RFCE,660.311
19503,PA,RFCE,660.311
19504,PA,RFCE,660.311
19505,PA,RFCE,660.311
19506,PA,RFCE,660.311
19507,PA,RFCE,660.311
19508,PA,RFCE,660.311
19510,PA,RFCE,660.311
19511,PA,RFCE,660.311
19512,PA,RFCE,660.311
19516,PA,RFCE,660.311
19518,PA,RFCE,660.311
19519,PA,RFCE,660.311
19520,PA,RFCE,660.311
19522,PA,RFCE,660.311
19523,PA,RFCE,660.311
19525,PA,RFCE,660.311
19526,PA,RFCE,660.311
19529,PA,RFCE,660.311
19530,PA,RFCE,660.311
19533,PA,RFCE,660.311
19534,PA,RFCE,660.311
19535,PA,RFCE,660.311
19536,PA,RFCE,660.311
19538,PA,RFCE,660.311
19539,PA,RFCE,660.311
19540,PA,RFCE,660.311
19541,PA,RFCE,660.311
19542,PA,RFCE,660.311
19543,PA,RFCE,660.311
19544,PA,RFCE,660.311
19545,PA,RFCE,660.311
19547,PA,RFCE,660.311
19548,PA,RFCE,660.311
19549,PA,RFCE,660.311
19550,PA,RFCE,660.311
19551,PA,RFCE,660.311
19554,PA,RFCE,660.311
19555,PA,RFCE,660.311
19559,PA,RFCE,660.311
19560,PA,RFCE,660.311
19562,PA,RFCE,660.311
19564,PA,RFCE,660.311
19565,PA,RFCE,660.311
19567,PA,RFCE,660.311
19601,PA,RFCE,660.311
19602,PA,RFCE,660.311
19603,PA,RFCE,660.311
19604,PA,RFCE,660.311
19605,PA,RFCE,660.311
19606,PA,RFCE,660.311
19607,PA,RFCE,660.311
19608,PA,RFCE,660.311
19609,PA,RFCE,660.311
19610,PA,RFCE,660.311
19611,PA,RFCE,660.311
19612,PA,RFCE,660.311
19701,DE,RFCE,660.311
19702,DE,RFCE,660.311
19703,DE,RFCE,660.311
19706,DE,RFCE,660.311
19707,DE,RFCE,660.311
19708,DE,RFCE,660.311
19709,DE,RFCE,660.311
19710,DE,RFCE,660.311
19711,DE,RFCE,660.311
19712,DE,RFCE,660.311
19713,DE,RFCE,660.311
19714,DE,RFCE,660.311
19715,DE,RFCE,660.311
19716,DE,RFCE,660.311
19717,DE,RFCE,660.311
19718,DE,RFCE,660.311
19720,DE,RFCE,660.311
19721,DE,RFCE,660.311
19725,DE,RFCE,660.311
19726,DE,RFCE,660.311
19730,DE,RFCE,660.311
19731,DE,RFCE,660.311
19732,DE,RFCE,660.311
19733,DE,RFCE,660.311
19734,DE,RFCE,660.311
19735,DE,RFCE,660.311
19736,DE,RFCE,660.311
19801,DE,RFCE,660.311
19802,DE,RFCE,660.311
19803,DE,RFCE,660.311
19804,DE,RFCE,660.311
19805,DE,RFCE,660.311
19806,DE,RFCE,660.311
19807,DE,RFCE,660.311
19808,DE,RFCE,660.311
19809,DE,RFCE,660.311
19810,DE,RFCE,660.311
19850,DE,RFCE,660.311
19880,DE,RFCE,660.311
19884,DE,RFCE,660.311
19885,DE,RFCE,660.311
19886,DE,RFCE,660.311
19890,DE,RFCE,660.311
19891,DE,RFCE,660.311
19892,DE,RFCE,660.311
19893,DE,RFCE,660.311
19894,DE,RFCE,660.311
19895,DE,RFCE,660.311
19896,DE,RFCE,660.311
19897,DE,RFCE,660.311
19898,DE,RFCE,660.311
19899,DE,RFCE,660.311
19901,DE,RFCE,660.311
19902,DE,RFCE,660.311
19903,DE,RFCE,660.311
19904,DE,RFCE,660.311
19905,DE,RFCE,660.311
19906,DE,RFCE,660.311
19930,DE,RFCE,660.311
19931,DE,RFCE,660.311
19933,DE,RFCE,660.311
19934,DE,RFCE,660.311
19936,DE,RFCE,660.311
19938,DE,RFCE,660.311
19939,DE,RFCE,660.311
19940,DE,RFCE,660.311
19941,DE,RFCE,660.311
19943,DE,RFCE,660.311
19944,DE,RFCE,660.311
19945,DE,RFCE,660.311
19946,DE,RFCE,660.311
19947,DE,RFCE,660.311
19950,DE,RFCE,660.311
19951,DE,RFCE,660.311
19952,DE,RFCE,660.311
19953,DE,RFCE,660.311
19954,DE,RFCE,660.311
19955,DE,RFCE,660.311
19956,DE,RFCE,660.311
19958,DE,RFCE,660.311
19960,DE,RFCE,660.311
19961,DE,RFCE,660.311
19962,DE,RFCE,660.311
19963,DE,RFCE,660.311
19964,DE,RFCE,660.311
19966,DE,RFCE,660.311
19967,DE,RFCE,660.311
19968,DE,RFCE,660.311
19969,DE,RFCE,660.311
19970,DE,RFCE,660.311
19971,DE,RFCE,660.311
19973,DE,RFCE,660.311
19975,DE,RFCE,660.311
19977,DE,RFCE,660.311
19979,DE,RFCE,660.311
19980,DE,RFCE,660.311
20001,DC,RFCE,660.311
20002,DC,RFCE,660.311
20003,DC,RFCE,660.311
20004,DC,RFCE,660.311
20005,DC,RFCE,660.311
20006,DC,RFCE,660.311
20007,DC,RFCE,660.311
20008,DC,RFCE,660.311
20009,DC,RFCE,660.311
20010,DC,RFCE,660.311
20011,DC,RFCE,660.311
20012,DC,RFCE,660.311
20013,DC,RFCE,660.311
20015,DC,RFCE,660.311
20016,DC,RFCE,660.311
20017,DC,RFCE,660.311
20018,DC,RFCE,660.311
20019,DC,RFCE,660.311
20020,DC,RFCE,660.311
20022,DC,RFCE,660.311
20023,DC,RFCE,660.311
20024,DC,RFCE,660.311
20026,DC,RFCE,660.311
20027,DC,RFCE,660.311
20029,DC,RFCE,660.311
20030,DC,RFCE,660.311
20032,DC,RFCE,660.311
20033,DC,RFCE,660.311
20035,DC,RFCE,660.311
20036,DC,RFCE,660.311
20037,DC,RFCE,660.311
20038,DC,RFCE,660.311
20039,DC,RFCE,660.311
20040,DC,RFCE,660.311
20041,VA,SRVC,625.874
20042,DC,RFCE,660.311
20043,DC,RFCE,660.311
20044,DC,RFCE,660.311
20045,DC,RFCE,660.311
20046,DC,RFCE,660.311
20047,DC,RFCE,660.311
20049,DC,RFCE,660.311
20050,DC,RFCE,660.311
20051,DC,RFCE,660.311
20052,DC,RFCE,660.311
20053,DC,RFCE,660.311
20055,DC,RFCE,660.311
20056,DC,RFCE,660.311
20057,DC,RFCE,660.311
20058,DC,RFCE,660.311
20059,DC,RFCE,660.311
20060,DC,RFCE,660.311
20061,DC,RFCE,660.311
20062,DC,RFCE,660.311
20063,DC,RFCE,660.311
20064,DC,RFCE,660.311
20065,DC,RFCE,660.311
20066,DC,RFCE,660.311
20067,DC,RFCE,660.311
20068,DC,RFCE,660.311
20069,DC,RFCE,660.311
20070,DC,RFCE,660.311
20071,DC,RFCE,660.311
20073,DC,RFCE,660.311
20074,DC,RFCE,660.311
20075,DC,RFCE,660.311
20076,DC,RFCE,660.311
20077,DC,RFCE,660.311
20078,DC,RFCE,660.311
20080,DC,RFCE,660.311
20081,DC,RFCE,660.311
20082,DC,RFCE,660.311
20088,DC,RFCE,660.311
20090,DC,RFCE,660.311
20091,DC,RFCE,660.311
20097,DC,RFCE,660.311
20098,DC,RFCE,660.311
20101,VA,SRVC,625.874
20102,VA,SRVC,625.874
20103,VA,SRVC,625.874
20104,VA,SRVC,625.874
20105,VA,SRVC,625.874
20106,VA,SRVC,625.874
20108,VA,SRVC,625.874
20109,VA,SRVC,625.874
20110,VA,SRVC,625.874
20111,VA,SRVC,625.874
20112,VA,SRVC,625.874
20113,VA,SRVC,625.874
20115,VA,SRVC,625.874
20116,VA,SRVC,625.874
20117,VA,SRVC,625.874
20118,VA,SRVC,625.874
20119,VA,SRVC,625.874
20120,VA,SRVC,625.874
20121,VA,SRVC,625.874
20122,VA,SRVC,625.874
20124,VA,SRVC,625.874
20128,VA,SRVC,625.874
20129,VA,SRVC,625.874
20130,VA,SRVC,625.874
20131,VA,SRVC,625.874
20132,VA,SRVC,625.874
20134,VA,SRVC,625.874
20135,VA,SRVC,625.874
20136,VA,SRVC,625.874
20137,VA,SRVC,625.874
20138,VA,SRVC,625.874
20139,VA,SRVC,625.874
20140,VA,SRVC,625.874
20141,VA,SRVC,625.874
20142,VA,SRVC,625.874
20143,VA,SRVC,625.874
20144,VA,SRVC,625.874
20146,VA,SRVC,625.874
20147,VA,SRVC,625.874
20148,VA,SRVC,625.874
20149,VA,SRVC,625.874
20151,VA,SRVC,625.874
20152,VA,SRVC,625.874
20153,VA,SRVC,625.874
20155,VA,SRVC,625.874
20156,VA,SRVC,625.874
20158,VA,SRVC,625.874
20159,VA,SRVC,625.874
20160,VA,SRVC,625.874
20163,VA,SRVC,625.874
20164,VA,SRVC,625.874
20165,VA,SRVC,625.874
20166,VA,SRVC,625.874
20167,VA,SRVC,625.874
20168,VA,SRVC,625.874
20169,VA,SRVC,625.874
20170,VA,SRVC,625.874
20171,VA,SRVC,625.874
20172,VA,SRVC,625.874
20175,VA,SRVC,625.874
20176,VA,SRVC,625.874
20177,VA,SRVC,625.874
20178,VA,SRVC,625.874
20180,VA,SRVC,625.874
20181,VA,SRVC,625.874
20182,VA,SRVC,625.874
20184,VA,SRVC,625.874
20185,VA,SRVC,625.874
20186,VA,SRVC,625.874
20187,VA,SRVC,625.874
20188,VA,SRVC,625.874
20189,VA,SRVC,625.874
20190,VA,SRVC,625.874
20191,VA,SRVC,625.874
20192,VA,SRVC,625.874
20194,VA,SRVC,625.874
20195,VA,SRVC,625.874
20196,VA,SRVC,625.874
20197,VA,SRVC,625.874
20198,VA,SRVC,625.874
20201,DC,RFCE,660.311
20202,DC,RFCE,660.311
20203,DC,RFCE,660.311
20204,DC,RFCE,660.311
20206,DC,RFCE,660.311
20207,DC,RFCE,660.311
20208,DC,RFCE,660.311
20210,DC,RFCE,660.311
20211,DC,RFCE,660.311
20212,DC,RFCE,660.311
20213,DC,RFCE,660.311
20214,DC,RFCE,660.311
20215,DC,RFCE,660.311
20216,DC,RFCE,660.311
20217,DC,RFCE,660.311
20218,DC,RFCE,660.311
20219,DC,RFCE,660.311
20220,DC,RFCE,660.311
20221,DC,RFCE,660.311
20222,DC,RFCE,660.311
20223,DC,RFCE,660.311
20224,DC,RFCE,660.311
20226,DC,RFCE,660.311
20227,DC,RFCE,660.311
20228,DC,RFCE,660.311
20229,DC,RFCE,660.311
20230,DC,RFCE,660.311
20232,DC,RFCE,660.311
20233,DC,RFCE,660.311
20235,DC,RFCE,660.311
20237,DC,RFCE,660.311
20238,DC,RFCE,660.311
20239,DC,RFCE,660.311
20240,DC,RFCE,660.311
20241,DC,RFCE,660.311
20242,DC,RFCE,660.311
20244,DC,RFCE,660.311
20245,DC,RFCE,660.311
20250,DC,RFCE,660.311
20251,DC,RFCE,660.311
20254,DC,RFCE,660.311
20260,DC,RFCE,660.311
20261,DC,RFCE,660.311
20262,DC,RFCE,660.311
20265,DC,RFCE,660.311
20266,DC,RFCE,660.311
20268,DC,RFCE,660.311
20270,DC,RFCE,660.311
20277,DC,RFCE,660.311
20289,DC,RFCE,660.311
20299,DC,RFCE,660.311
20301,DC,RFCE,660.311
20303,DC,RFCE,660.311
20306,DC,RFCE,660.311
20307,DC,RFCE,660.311
20310,DC,RFCE,660.311
20314,DC,RFCE,660.311
20317,DC,RFCE,660.311
20318,DC,RFCE,660.311
20319,DC,RFCE,660.311
20330,VA,SRVC,625.874
20340,DC,RFCE,660.311
20350,DC,RFCE,660.311
20355,DC,RFCE,660.311
20370,DC,RFCE,660.311
20372,DC,RFCE,660.311
20373,DC,RFCE,660.311
20374,DC,RFCE,660.311
20375,DC,RFCE,660.311
20376,DC,RFCE,660.311
20380,DC,RFCE,660.311
20388,DC,RFCE,660.311
20389,DC,RFCE,660.311
20390,DC,RFCE,660.311
20391,DC,RFCE,660.311
20392,DC,RFCE,660.311
20393,DC,RFCE,660.311
20394,DC,RFCE,660.311
20395,DC,RFCE,660.311
20398,DC,RFCE,660.311
20401,DC,RFCE,660.311
20402,DC,RFCE,660.311
20403,DC,RFCE,660.311
20404,DC,RFCE,660.311
20405,DC,RFCE,660.311
