Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
783,PR,PRMS,1599.922
784,PR,PRMS,1599.922
785,PR,PRMS,1599.922
786,PR,PRMS,1599.922
791,PR,PRMS,1599.922
792,PR,PRMS,1599.922
794,PR,PRMS,1599.922
795,PR,PRMS,1599.922
901,PR,PRMS,1599.922
902,PR,PRMS,1599.922
906,PR,PRMS,1599.922
907,PR,PRMS,1599.922
908,PR,PRMS,1599.922
909,PR,PRMS,1599.922
910,PR,PRMS,1599.922
911,PR,PRMS,1599.922
912,PR,PRMS,1599.922
913,PR,PRMS,1599.922
914,PR,PRMS,1599.922
915,PR,PRMS,1599.922
916,PR,PRMS,1599.922
917,PR,PRMS,1599.922
918,PR,PRMS,1599.922
919,PR,PRMS,1599.922
920,PR,PRMS,1599.922
921,PR,PRMS,1599.922
922,PR,PRMS,1599.922
923,PR,PRMS,1599.922
924,PR,PRMS,1599.922
925,PR,PRMS,1599.922
926,PR,PRMS,1599.922
927,PR,PRMS,1599.922
928,PR,PRMS,1599.922
929,PR,PRMS,1599.922
930,PR,PRMS,1599.922
931,PR,PRMS,1599.922
933,PR,PRMS,1599.922
934,PR,PRMS,1599.922
935,PR,PRMS,1599.922
936,PR,PRMS,1599.922
937,PR,PRMS,1599.922
939,PR,PRMS,1599.922
940,PR,PRMS,1599.922
949,PR,PRMS,1599.922
950,PR,PRMS,1599.922
951,PR,PRMS,1599.922
952,PR,PRMS,1599.922
953,PR,PRMS,1599.922
954,PR,PRMS,1599.922
955,PR,PRMS,1599.922
956,PR,PRMS,1599.922
957,PR,PRMS,1599.922
958,PR,PRMS,1599.922
959,PR,PRMS,1599.922
960,PR,PRMS,1599.922
961,PR,PRMS,1599.922
962,PR,PRMS,1599.922
963,PR,PRMS,1599.922
965,PR,PRMS,1599.922
966,PR,PRMS,1599.922
968,PR,PRMS,1599.922
969,PR,PRMS,1599.922
970,PR,PRMS,1599.922
971,PR,PRMS,1599.922
975,PR,PRMS,1599.922
976,PR,PRMS,1599.922
977,PR,PRMS,1599.922
978,PR,PRMS,1599.922
979,PR,PRMS,1599.922
981,PR,PRMS,1599.922
982,PR,PRMS,1599.922
983,PR,PRMS,1599.922
984,PR,PRMS,1599.922
985,PR,PRMS,1599.922
986,PR,PRMS,1599.922
987,PR,PRMS,1599.922
988,PR,PRMS,1599.922
1001,MA,NEWE,540.48
1002,MA,NEWE,540.48
1003,MA,NEWE,540.48
1004,MA,NEWE,540.48
1005,MA,NEWE,540.48
1007,MA,NEWE,540.48
1008,MA,NEWE,540.48
1009,MA,NEWE,540.48
1010,MA,NEWE,540.48
1011,MA,NEWE,540.48
1012,MA,NEWE,540.48
1013,MA,NEWE,540.48
1014,MA,NEWE,540.48
1020,MA,NEWE,540.48
1021,MA,NEWE,540.48
1022,MA,NEWE,540.48
1026,MA,NEWE,540.48
1027,MA,NEWE,540.48
1028,MA,NEWE,540.48
1029,MA,NEWE,540.48
1030,MA,NEWE,540.48
1031,MA,NEWE,540.48
1032,MA,NEWE,540.48
1033,MA,NEWE,540.48
1034,MA,NEWE,540.48
1035,MA,NEWE,540.48
1036,MA,NEWE,540.48
1037,MA,NEWE,540.48
1038,MA,NEWE,540.48
1039,MA,NEWE,540.48
1040,MA,NEWE,540.48
1041,MA,NEWE,540.48
1050,MA,NEWE,540.48
1053,MA,NEWE,540.48
1054,MA,NEWE,540.48
1056,MA,NEWE,540.48
1057,MA,NEWE,540.48
1059,MA,NEWE,540.48
1060,MA,NEWE,540.48
1061,MA,NEWE,540.48
1062,MA,NEWE,540.48
1063,MA,NEWE,540.48
1066,MA,NEWE,540.48
1068,MA,NEWE,540.48
1069,MA,NEWE,540.48
1070,MA,NEWE,540.48
1071,MA,NEWE,540.48
1072,MA,NEWE,540.48
1073,MA,NEWE,540.48
1074,MA,NEWE,540.48
1075,MA,NEWE,540.48
1077,MA,NEWE,540.48
1079,MA,NEWE,540.48
1080,MA,NEWE,540.48
1081,MA,NEWE,540.48
1082,MA,NEWE,540.48
1083,MA,NEWE,540.48
1084,MA,NEWE,540.48
1085,MA,NEWE,540.48
1086,MA,NEWE,540.48
1088,MA,NEWE,540.48
1089,MA,NEWE,540.48
1090,MA,NEWE,540.48
1092,MA,NEWE,540.48
1093,MA,NEWE,540.48
1094,MA,NEWE,540.48
1095,MA,NEWE,540.48
1096,MA,NEWE,540.48
1097,MA,NEWE,540.48
1098,MA,NEWE,540.48
1101,MA,NEWE,540.48
1102,MA,NEWE,540.48
1103,MA,NEWE,540.48
1104,MA,NEWE,540.48
1105,MA,NEWE,540.48
1106,MA,NEWE,540.48
1107,MA,NEWE,540.48
1108,MA,NEWE,540.48
1109,MA,NEWE,540.48
1111,MA,NEWE,540.48
1115,MA,NEWE,540.48
1116,MA,NEWE,540.48
1118,MA,NEWE,540.48
1119,MA,NEWE,540.48
1128,MA,NEWE,540.48
1129,MA,NEWE,540.48
1138,MA,NEWE,540.48
1139,MA,NEWE,540.48
1144,MA,NEWE,540.48
1151,MA,NEWE,540.48
1152,MA,NEWE,540.48
1199,MA,NEWE,540.48
1201,MA,NEWE,540.48
1202,MA,NEWE,540.48
1203,MA,NEWE,540.48
1220,MA,NEWE,540.48
1222,MA,NEWE,540.48
1223,MA,NEWE,540.48
1224,MA,NEWE,540.48
1225,MA,NEWE,540.48
1226,MA,NEWE,540.48
1227,MA,NEWE,540.48
1229,MA,NEWE,540.48
1230,MA,NEWE,540.48
1235,MA,NEWE,540.48
1236,MA,NEWE,540.48
1237,MA,NEWE,540.48
1238,MA,NEWE,540.48
1240,MA,NEWE,540.48
1242,MA,NEWE,540.48
1243,MA,NEWE,540.48
1244,MA,NEWE,540.48
1245,MA,NEWE,540.48
1247,MA,NEWE,540.48
1252,MA,NEWE,540.48
1253,MA,NEWE,540.48
1254,MA,NEWE,540.48
1255,MA,NEWE,540.48
1256,MA,NEWE,540.48
1257,MA,NEWE,540.48
1258,MA,NEWE,540.48
1259,MA,NEWE,540.48
1260,MA,NEWE,540.48
1262,MA,NEWE,540.48
1263,MA,NEWE,540.48
1264,MA,NEWE,540.48
1266,MA,NEWE,540.48
1267,MA,NEWE,540.48
1270,MA,NEWE,540.48
1301,MA,NEWE,540.48
1302,MA,NEWE,540.48
1330,MA,NEWE,540.48
1331,MA,NEWE,540.48
1337,MA,NEWE,540.48
1338,MA,NEWE,540.48
1339,MA,NEWE,540.48
1340,MA,NEWE,540.48
1341,MA,NEWE,540.48
1342,MA,NEWE,540.48
1343,MA,NEWE,540.48
1344,MA,NEWE,540.48
1346,MA,NEWE,540.48
1347,MA,NEWE,540.48
1349,MA,NEWE,540.48
1350,MA,NEWE,540.48
1351,MA,NEWE,540.48
1354,MA,NEWE,540.48
1355,MA,NEWE,540.48
1360,MA,NEWE,540.48
1364,MA,NEWE,540.48
1366,MA,NEWE,540.48
1367,MA,NEWE,540.48
1368,MA,NEWE,540.48
1370,MA,NEWE,540.48
1373,MA,NEWE,540.48
1375,MA,NEWE,540.48
1376,MA,NEWE,540.48
1378,MA,NEWE,540.48
1379,MA,NEWE,540.48
1380,MA,NEWE,540.48
1420,MA,NEWE,540.48
1430,MA,NEWE,540.48
1431,MA,NEWE,540.48
1432,MA,NEWE,540.48
1434,MA,NEWE,540.48
1436,MA,NEWE,540.48
1438,MA,NEWE,540.48
1440,MA,NEWE,540.48
1441,MA,NEWE,540.48
1450,MA,NEWE,540.48
1451,MA,NEWE,540.48
1452,MA,NEWE,540.48
1453,MA,NEWE,540.48
1460,MA,NEWE,540.48
1462,MA,NEWE,540.48
1463,MA,NEWE,540.48
1464,MA,NEWE,540.48
1467,MA,NEWE,540.48
1468,MA,NEWE,540.48
1469,MA,NEWE,540.48
1470,MA,NEWE,540.48
1471,MA,NEWE,540.48
1472,MA,NEWE,540.48
1473,MA,NEWE,540.48
1474,MA,NEWE,540.48
1475,MA,NEWE,540.48
1477,MA,NEWE,540.48
1501,MA,NEWE,540.48
1503,MA,NEWE,540.48
1504,MA,NEWE,540.48
1505,MA,NEWE,540.48
